121.641	180.253	114.206	-0.905239	0.290081	-0.310475
98.6626	179.655	117.923	-0.73032	0.148658	0.666734
120.859	178.715	117.563	-0.994513	0.0613673	-0.0847281
123.859	178.7	108.073	-0.892335	0.442733	0.0878993
105.178	177.99	105.835	-0.846982	0.0629671	-0.527879
121.004	175.445	121.952	-0.995872	0.0837809	0.0349321
120.765	170.928	119.419	-0.989636	0.105454	-0.0974651
120.657	173.472	124.379	-0.938586	0.329327	-0.102953
114.332	171.719	126.31	-0.887732	0.380401	-0.259281
91.8297	171.594	127.497	-0.711631	0.277232	0.645541
99.2167	171.301	119.629	-0.845125	0.0829266	0.528097
113.076	168.546	127.629	-0.923859	0.206828	-0.322035
135.63	169.215	132.313	-0.917634	0.205171	0.340371
94.7188	167.911	132.419	-0.823518	0.486324	0.292074
99.9782	167.697	121.093	-0.711102	0.218005	0.668437
131.512	170.263	120.917	-0.966677	-0.0045798	0.255959
57.884	165.771	109.935	-0.657699	0.740814	0.136477
134.714	167.296	127.431	-0.997745	0.0321972	0.0588889
113.957	168.511	124.174	-0.938145	0.183898	-0.29337
119.614	166.701	113.854	-0.484699	0.548701	0.681171
134.634	166.924	124.933	-0.968885	-0.0543613	0.241467
135.137	165.636	131.098	-0.971925	0.229167	0.0533264
156.332	167.379	98.7064	-0.830231	0.483143	-0.27801
60.0529	166.713	112.907	-0.651501	0.528962	0.543825
134.08	167.921	123.743	-0.803339	-0.121689	0.582956
110.798	165.717	131.506	-0.978948	0.0826219	-0.186639
113.807	162.086	120.94	-0.924147	0.25307	-0.286195
112.893	160.335	124.06	-0.949221	0.21178	-0.232655
90.1911	164.287	106.004	-0.855657	0.300607	-0.421291
134.203	162.759	126.191	-0.947104	0.318534	0.0391179
